Order_Date;Ship_Date;Ship_Mode;Customer_ID;Segment;City;State;Postal_Code;Region;Product_ID;Category;Sub_Category;Product_Name;Sales;shipping_costs;number_of_products_in_warehouse;production_costs_per_unit
11.03.2017;13.03.2017;First Class;ON-18715;Corporate;Eagan;Minnesota;55122.0;Central;OFF-BI-10003291;Office Supplies;Binders;Wilson Jones Leather-Like Binders with DublLock Round Rings;17.46;7;0;25
20.10.2015;25.10.2015;Second Class;PO-18865;Consumer;Westland;Michigan;48185.0;Central;OFF-ST-10001713;Office Supplies;Storage;Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black;211.96;115;2;55
20.06.2017;25.06.2017;Standard Class;LH-16900;Consumer;Dover;Delaware;19901.0;East;TEC-AC-10002167;Technology;Accessories;Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive;45.0;7;45;2
20.06.2017;25.06.2017;Standard Class;LH-16900;Consumer;Dover;Delaware;19901.0;East;TEC-PH-10003988;Technology;Phones;LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite;21. Aug;9;1;11
18.04.2016;22.04.2016;Standard Class;DP-13000;Consumer;New Albany;Indiana;47150.0;Central;OFF-BI-10004410;Office Supplies;Binders;C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack;38.22;10;1;1
18.04.2016;22.04.2016;Standard Class;DP-13000;Consumer;New Albany;Indiana;47150.0;Central;OFF-LA-10002762;Office Supplies;Labels;Avery 485;75.18;796;341;43
18.04.2016;22.04.2016;Standard Class;DP-13000;Consumer;New Albany;Indiana;47150.0;Central;FUR-FU-10001706;Furniture;Furnishings;Longer-Life Soft White Bulbs;Jun 16;5;1;12
18.04.2016;22.04.2016;Standard Class;DP-13000;Consumer;New Albany;Indiana;47150.0;Central;FUR-CH-10003061;Furniture;Chairs;Global Leather Task Chair, Black;89.99;5;1;85
11.12.2017;17.12.2017;Standard Class;JM-15265;Corporate;New York City;New York;10024.0;East;OFF-FA-10000304;Office Supplies;Fasteners;Advantus Push Pins;15.26;2;288;3
11.12.2017;17.12.2017;Standard Class;JM-15265;Corporate;New York City;New York;10024.0;East;TEC-PH-10002447;Technology;Phones;AT&T CL83451 4-Handset Telephone;1029.95;15;1;18
17.06.2017;18.06.2017;First Class;TB-21055;Consumer;Troy;New York;12180.0;East;OFF-ST-10000604;Office Supplies;Storage;Home/Office Personal File Carts;208.56;21;1;74
17.06.2017;18.06.2017;First Class;TB-21055;Consumer;Troy;New York;12180.0;East;OFF-PA-10001569;Office Supplies;Paper;Xerox 232;32.4;18;9;4
17.06.2017;18.06.2017;First Class;TB-21055;Consumer;Troy;New York;12180.0;East;FUR-CH-10003968;Furniture;Chairs;Novimex Turbo Task Chair;319.41;16;1;38
17.06.2017;18.06.2017;First Class;TB-21055;Consumer;Troy;New York;12180.0;East;OFF-PA-10000587;Office Supplies;Paper;Array Parchment Paper, Assorted Colors;14.56;4;91;12
17.06.2017;18.06.2017;First Class;TB-21055;Consumer;Troy;New York;12180.0;East;TEC-AC-10002167;Technology;Accessories;Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive;30.0;268;1;9
17.06.2017;18.06.2017;First Class;TB-21055;Consumer;Troy;New York;12180.0;East;OFF-BI-10001460;Office Supplies;Binders;Plastic Binding Combs;48.48;16;0;11
17.06.2017;18.06.2017;First Class;TB-21055;Consumer;Troy;New York;12180.0;East;OFF-AR-10001868;Office Supplies;Art;Prang Dustless Chalk Sticks;Jan 68;1;899;49
24.11.2016;30.11.2016;Standard Class;KM-16720;Consumer;Los Angeles;California;90004.0;West;TEC-AC-10004633;Technology;Accessories;Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack;13.98;3;450;11
24.11.2016;30.11.2016;Standard Class;KM-16720;Consumer;Los Angeles;California;90004.0;West;OFF-BI-10001078;Office Supplies;Binders;Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8 X 11;25.824;259;0;815
24.11.2016;30.11.2016;Standard Class;KM-16720;Consumer;Los Angeles;California;90004.0;West;OFF-PA-10003892;Office Supplies;Paper;Xerox 1943;146.73;12;10;44
24.11.2016;30.11.2016;Standard Class;KM-16720;Consumer;Los Angeles;California;90004.0;West;FUR-FU-10000397;Furniture;Furnishings;Luxo Economy Swing Arm Lamp;79.76;10;3;1
30.04.2016;05.05.2016;Standard Class;PS-18970;Home Office;Chicago;Illinois;60610.0;Central;FUR-CH-10001146;Furniture;Chairs;Global Value Mid-Back Managers Chair, Gray;213.115;9;1;22
05.12.2015;10.12.2015;Standard Class;BS-11590;Corporate;Gilbert;Arizona;85234.0;West;OFF-AR-10002671;Office Supplies;Art;Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige;1.113.024;5;1;110
05.12.2015;10.12.2015;Standard Class;BS-11590;Corporate;Gilbert;Arizona;85234.0;West;TEC-PH-10002726;Technology;Phones;netTALK DUO VoIP Telephone Service;167.968;12;22;4
04.06.2017;06.06.2017;First Class;KD-16270;Consumer;Springfield;Virginia;22153.0;South;OFF-PA-10000482;Office Supplies;Paper;Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate;75.88;13;2;1
18.09.2017;23.09.2017;Standard Class;HM-14980;Consumer;New York City;New York;10009.0;East;OFF-BI-10004654;Office Supplies;Binders;Avery Binding System Hidden Tab Executive Style Index Sets;4.616;5;1;1
14.09.2018;17.09.2018;Second Class;TB-21520;Consumer;Jackson;Michigan;49201.0;Central;OFF-PA-10004675;Office Supplies;Paper;Telephone Message Books with Fax/Mobile Section, 5 1/2 x 3 3/16;19. Mai;7;1;3
26.04.2016;02.05.2016;Standard Class;JE-15745;Consumer;Memphis;Tennessee;38109.0;South;FUR-CH-10000513;Furniture;Chairs;High-Back Leather Managers Chair;831.936;9;16;371
26.04.2016;02.05.2016;Standard Class;JE-15745;Consumer;Memphis;Tennessee;38109.0;South;FUR-FU-10003708;Furniture;Furnishings;Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36 x 48;97.04;13;2;270
26.04.2016;02.05.2016;Standard Class;JE-15745;Consumer;Memphis;Tennessee;38109.0;South;OFF-ST-10004123;Office Supplies;Storage;Safco Industrial Wire Shelving System;72.784;7;3;4
09.12.2018;11.12.2018;First Class;KB-16600;Corporate;Houston;Texas;77041.0;Central;OFF-BI-10004182;Office Supplies;Binders;Economy Binders;1.248;8;515;4
09.12.2018;11.12.2018;First Class;KB-16600;Corporate;Houston;Texas;77041.0;Central;FUR-FU-10000260;Furniture;Furnishings;6 Cubicle Wall Clock, Black;9.708;5;24;3
09.12.2018;11.12.2018;First Class;KB-16600;Corporate;Houston;Texas;77041.0;Central;OFF-ST-10000615;Office Supplies;Storage;SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h;27.24;5;2;2
26.11.2015;01.12.2015;Second Class;JE-15745;Consumer;Houston;Texas;77070.0;Central;FUR-FU-10003194;Furniture;Furnishings;Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak;19. Mrz;223;1;487
12.06.2017;15.06.2017;First Class;SC-20770;Corporate;Decatur;Alabama;35601.0;South;OFF-AP-10002118;Office Supplies;Appliances;1.7 Cubic Foot Compact Cube Office Refrigerators;208.16;15;3;36
12.06.2017;15.06.2017;First Class;SC-20770;Corporate;Decatur;Alabama;35601.0;South;OFF-BI-10002309;Office Supplies;Binders;Avery Heavy-Duty EZD  Binder With Locking Rings;16.74;8;1;14
12.10.2015;16.10.2015;Standard Class;DN-13690;Consumer;San Francisco;California;94122.0;West;OFF-AR-10002053;Office Supplies;Art;Premium Writing Pencils, Soft, #2 by Central Association for the Blind;14. Sep;11;6;1
12.10.2015;16.10.2015;Standard Class;DN-13690;Consumer;San Francisco;California;94122.0;West;OFF-ST-10002370;Office Supplies;Storage;Sortfiler Multipurpose Personal File Organizer, Black;21.39;4;247;4
03.09.2016;08.09.2016;Standard Class;JC-16105;Corporate;Durham;North Carolina;27707.0;South;OFF-EN-10000927;Office Supplies;Envelopes;Jet-Pak Recycled Peel N Seal Padded Mailers;200.984;15;2;27
13.11.2018;16.11.2018;First Class;CS-12400;Home Office;Chicago;Illinois;60623.0;Central;OFF-ST-10003656;Office Supplies;Storage;Safco Industrial Wire Shelving;230.376;10;2;159
28.05.2018;30.05.2018;Second Class;PO-18865;Consumer;Columbia;South Carolina;29203.0;South;FUR-CH-10000863;Furniture;Chairs;Novimex Swivel Fabric Task Chair;301.96;0;3;118
26.10.2018;02.11.2018;Standard Class;PG-18895;Consumer;Rochester;Minnesota;55901.0;Central;TEC-AC-10001998;Technology;Accessories;Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired;19.99;12;4;10
26.10.2018;02.11.2018;Standard Class;PG-18895;Consumer;Rochester;Minnesota;55901.0;Central;OFF-LA-10000134;Office Supplies;Labels;Avery 511;Jun 16;10;2;10
05.04.2017;10.04.2017;Second Class;GM-14455;Home Office;Houston;Texas;77095.0;Central;OFF-ST-10003442;Office Supplies;Storage;Eldon Portable Mobile Manager;158.368;11;1;74
17.09.2017;22.09.2017;Standard Class;JS-15685;Corporate;Los Angeles;California;90036.0;West;OFF-AR-10004930;Office Supplies;Art;Turquoise Lead Holder with Pocket Clip;20. Jan;10;2356;3
17.09.2017;22.09.2017;Standard Class;JS-15685;Corporate;Los Angeles;California;90036.0;West;TEC-PH-10004093;Technology;Phones;Panasonic Kx-TS550;73.584;6;2;21
17.09.2017;22.09.2017;Standard Class;JS-15685;Corporate;Los Angeles;California;90036.0;West;OFF-PA-10000304;Office Supplies;Paper;Xerox 1995;Jun 48;23;2433;1
31.01.2016;05.02.2016;Second Class;KB-16315;Consumer;Minneapolis;Minnesota;55407.0;Central;OFF-PA-10003177;Office Supplies;Paper;Xerox 1999;Dez 96;4;66;8
31.01.2016;05.02.2016;Second Class;KB-16315;Consumer;Minneapolis;Minnesota;55407.0;Central;FUR-FU-10003799;Furniture;Furnishings;Seth Thomas 13 1/2 Wall Clock;53.34;9;1;53
31.01.2016;05.02.2016;Second Class;KB-16315;Consumer;Minneapolis;Minnesota;55407.0;Central;OFF-BI-10002852;Office Supplies;Binders;Ibico Standard Transparent Covers;32.96;6;6;1
06.11.2018;12.11.2018;Standard Class;RB-19705;Home Office;Portland;Oregon;97206.0;West;OFF-BI-10004738;Office Supplies;Binders;Flexible Leather- Look Classic Collection Ring Binder;5.682;8;1;1
09.11.2018;11.11.2018;Second Class;PN-18775;Home Office;New York City;New York;10009.0;East;FUR-FU-10000629;Furniture;Furnishings;9-3/4 Diameter Round Wall Clock;96.53;6;135;343
17.06.2018;20.06.2018;First Class;KD-16345;Consumer;San Francisco;California;94122.0;West;OFF-BI-10001721;Office Supplies;Binders;Trimflex Flexible Post Binders;51.312;5;13;10
06.09.2017;11.09.2017;Standard Class;ER-13855;Corporate;Saint Paul;Minnesota;55106.0;Central;OFF-AP-10000358;Office Supplies;Appliances;Fellowes Basic Home/Office Series Surge Protectors;77.88;6;1;14
29.08.2017;02.09.2017;Standard Class;RB-19465;Home Office;Chicago;Illinois;60610.0;Central;OFF-PA-10003256;Office Supplies;Paper;Avery Personal Creations Heavyweight Cards;64.624;13;1;8
29.08.2017;02.09.2017;Standard Class;RB-19465;Home Office;Chicago;Illinois;60610.0;Central;TEC-AC-10001767;Technology;Accessories;SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card;95.976;10;4;33
29.08.2017;02.09.2017;Standard Class;RB-19465;Home Office;Chicago;Illinois;60610.0;Central;OFF-BI-10002609;Office Supplies;Binders;Avery Hidden Tab Dividers for Binding Systems;1.788;12;5;12
01.12.2017;04.12.2017;Second Class;GZ-14470;Consumer;Rochester;Minnesota;55901.0;Central;OFF-PA-10004040;Office Supplies;Paper;Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright);23.92;3;5;11
13.11.2016;17.11.2016;Standard Class;LC-16870;Consumer;Aurora;Colorado;80013.0;West;TEC-AC-10001552;Technology;Accessories;Logitech K350 2.4Ghz Wireless Keyboard;238.896;11;131;14
13.11.2016;17.11.2016;Standard Class;LC-16870;Consumer;Aurora;Colorado;80013.0;West;FUR-FU-10004006;Furniture;Furnishings;Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting;102.36;10;1;17
13.11.2016;17.11.2016;Standard Class;LC-16870;Consumer;Aurora;Colorado;80013.0;West;OFF-BI-10002794;Office Supplies;Binders;Avery Trapezoid Ring Binder, 3 Capacity, Black, 1040 sheets;36.882;10;1;6
23.11.2018;28.11.2018;Standard Class;JM-15250;Consumer;Charlotte;North Carolina;28205.0;South;TEC-AC-10003499;Technology;Accessories;Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive;74.112;14;1;24
23.11.2018;28.11.2018;Standard Class;JM-15250;Consumer;Charlotte;North Carolina;28205.0;South;TEC-PH-10002844;Technology;Phones;Speck Products Candyshell Flip Case;27.992;6;21;9
23.11.2018;28.11.2018;Standard Class;JM-15250;Consumer;Charlotte;North Carolina;28205.0;South;OFF-AR-10000390;Office Supplies;Art;Newell Chalk Holder;3.304;5;8;26
15.10.2016;20.10.2016;Standard Class;PA-19060;Home Office;Orland Park;Illinois;60462.0;Central;TEC-AC-10000844;Technology;Accessories;Logitech Gaming G510s - Keyboard;339.96;7;1;127
25.12.2018;30.12.2018;Standard Class;CV-12805;Corporate;New York City;New York;10035.0;East;FUR-FU-10001934;Furniture;Furnishings;Magnifier Swing Arm Lamp;41.96;10;1;22
03.11.2017;10.11.2017;Standard Class;CL-12565;Consumer;Urbandale;Iowa;50322.0;Central;OFF-AR-10000380;Office Supplies;Art;Hunt PowerHouse Electric Pencil Sharpener, Blue;75.96;7;6;144
03.11.2017;10.11.2017;Standard Class;CL-12565;Consumer;Urbandale;Iowa;50322.0;Central;OFF-BI-10003981;Office Supplies;Binders;Avery Durable Plastic 1 Binders;27.24;54;28;10
25.08.2015;27.08.2015;Second Class;RC-19960;Consumer;Columbus;Ohio;43229.0;East;OFF-FA-10000621;Office Supplies;Fasteners;OIC Colored Binder Clips, Assorted Sizes;40.096;12;1;11
25.08.2015;27.08.2015;Second Class;RC-19960;Consumer;Columbus;Ohio;43229.0;East;OFF-EN-10002600;Office Supplies;Envelopes;Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2;Apr 72;3;2;2
25.08.2015;27.08.2015;Second Class;RC-19960;Consumer;Columbus;Ohio;43229.0;East;OFF-PA-10004965;Office Supplies;Paper;Xerox 1921;23.976;358;463;61
25.08.2015;27.08.2015;Second Class;RC-19960;Consumer;Columbus;Ohio;43229.0;East;OFF-EN-10002504;Office Supplies;Envelopes;Tyvek  Top-Opening Peel & Seel Envelopes, Plain White;130.464;5;94;8
02.03.2016;06.03.2016;Standard Class;DK-13090;Consumer;Seattle;Washington;98103.0;West;FUR-TA-10001768;Furniture;Tables;Hon Racetrack Conference Tables;787.53;9;13;231
05.04.2016;10.04.2016;Standard Class;GG-14650;Corporate;Bristol;Tennessee;37620.0;South;OFF-BI-10003650;Office Supplies;Binders;GBC DocuBind 300 Electric Binding Machine;157.794;15;6;16
12.06.2017;15.06.2017;First Class;SC-20725;Consumer;Wilmington;Delaware;19805.0;East;FUR-FU-10002157;Furniture;Furnishings;Artistic Insta-Plaque;47.04;9;1;52
12.06.2017;15.06.2017;First Class;SC-20725;Consumer;Wilmington;Delaware;19805.0;East;OFF-BI-10003910;Office Supplies;Binders;DXL Angle-View Binders with Locking Rings by Samsill;30.84;7;127;3
12.06.2017;15.06.2017;First Class;SC-20725;Consumer;Wilmington;Delaware;19805.0;East;OFF-ST-10000777;Office Supplies;Storage;Companion Letter/Legal File, Black;226.56;12;808;15
12.06.2017;15.06.2017;First Class;SC-20725;Consumer;Wilmington;Delaware;19805.0;East;OFF-EN-10002500;Office Supplies;Envelopes;Globe Weis Peel & Seel First Class Envelopes;115.02;12;3;11
12.06.2017;15.06.2017;First Class;SC-20725;Consumer;Wilmington;Delaware;19805.0;East;TEC-PH-10003875;Technology;Phones;KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7;68.04;232;43;34
26.12.2015;28.12.2015;Second Class;AD-10180;Home Office;Houston;Texas;77041.0;Central;FUR-CH-10004063;Furniture;Chairs;Global Deluxe High-Back Managers Chair;600.558;25;0;272
20.09.2015;25.09.2015;Standard Class;PF-19165;Consumer;Bloomington;Illinois;61701.0;Central;FUR-TA-10004534;Furniture;Tables;Bevis 44 x 96 Conference Tables;617.7;9;3;873
05.11.2018;12.11.2018;Standard Class;TS-21610;Consumer;Phoenix;Arizona;85023.0;West;OFF-BI-10003274;Office Supplies;Binders;Avery Durable Slant Ring Binders, No Labels;2.388;9;1;1
05.11.2018;12.11.2018;Standard Class;TS-21610;Consumer;Phoenix;Arizona;85023.0;West;OFF-ST-10002974;Office Supplies;Storage;Trav-L-File Heavy-Duty Shuttle II, Black;243.992;11;0;3
06.11.2017;10.11.2017;Second Class;LS-16975;Home Office;Los Angeles;California;90004.0;West;FUR-CH-10001146;Furniture;Chairs;Global Task Chair, Black;81.424;7;80;75
06.11.2017;10.11.2017;Second Class;LS-16975;Home Office;Los Angeles;California;90004.0;West;FUR-FU-10003773;Furniture;Furnishings;Eldon Cleatmat Plus Chair Mats for High Pile Carpets;238.56;12;1;192
02.02.2018;05.02.2018;First Class;DW-13585;Corporate;Columbus;Ohio;43229.0;East;TEC-PH-10002293;Technology;Phones;Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5;59.97;12;5;18
02.02.2018;05.02.2018;First Class;DW-13585;Corporate;Columbus;Ohio;43229.0;East;OFF-PA-10002377;Office Supplies;Paper;Xerox 1916;78.304;0;1;167
02.02.2018;05.02.2018;First Class;DW-13585;Corporate;Columbus;Ohio;43229.0;East;OFF-FA-10002780;Office Supplies;Fasteners;Staples;21.456;29;38;0
13.10.2017;19.10.2017;Standard Class;LC-16885;Consumer;Roseville;California;95661.0;West;OFF-PA-10001804;Office Supplies;Paper;Xerox 195;20. Apr;3;8;139
13.10.2017;19.10.2017;Standard Class;LC-16885;Consumer;Roseville;California;95661.0;West;OFF-PA-10001736;Office Supplies;Paper;Xerox 1880;35.44;7;9;24
